Session_ID,Time,Network_Evolution,QoE_5G,QoE_6G,η_linear,η_sigmoid,η_adaptive,QoE_Total_Linear,QoE_Total_Sigmoid,QoE_Total_Adaptive,QoE_Total_Linear_Percent,QoE_Total_Sigmoid_Percent,QoE_Total_Adaptive_Percent,Transition_Stage
S033,31,Advanced_6G,0.9700,1.0126,0.861,1.000,0.988,1.0043,1.0126,1.0118,100.43,101.26,101.18,6G_Dominant
S034,32,Advanced_6G,0.9725,1.0155,0.889,1.000,0.992,1.0071,1.0155,1.0148,100.71,101.55,101.48,6G_Dominant
S035,33,Advanced_6G,0.9750,1.0185,0.917,1.000,0.996,1.0096,1.0185,1.0179,100.96,101.85,101.79,6G_Dominant
S036,34,Full_6G,0.9775,1.0213,0.944,1.000,0.998,1.0120,1.0213,1.0209,101.20,102.13,102.09,6G_Dominant
S037,35,Full_6G,0.9775,1.0241,0.972,1.000,0.999,1.0164,1.0241,1.0239,101.64,102.41,102.39,6G_Complete
S038,36,Full_6G,0.9800,1.0270,1.000,1.000,1.000,1.0270,1.0270,1.0270,102.70,102.70,102.70,6G_Complete
S039,1,Early_5G,0.7550,0.6548,0.028,0.001,0.005,0.7520,0.7549,0.7547,75.20,75.49,75.47,5G_Dominant
S040,2,Early_5G,0.7750,0.6679,0.056,0.002,0.012,0.7677,0.7749,0.7739,76.77,77.49,77.39,5G_Dominant
S041,3,Early_5G,0.8050,0.7506,0.083,0.007,0.025,0.8004,0.8045,0.8031,80.04,80.45,80.31,5G_Dominant
S042,5,Early_Transition,0.8275,0.7590,0.139,0.034,0.072,0.8193,0.8249,0.8228,81.93,82.49,82.28,5G_Dominant
S043,7,Early_Transition,0.8550,0.8039,0.194,0.091,0.138,0.8468,0.8477,0.8469,84.68,84.77,84.69,5G_Dominant
S044,10,Early_Transition,0.8775,0.8604,0.278,0.226,0.258,0.8736,0.8705,0.8714,87.36,87.05,87.14,5G_Dominant
S045,12,Mid_Transition,0.8925,0.8871,0.333,0.354,0.370,0.8908,0.8898,0.8900,89.08,88.98,89.00,Balanced
S046,15,Mid_Transition,0.9075,0.9089,0.417,0.622,0.520,0.9081,0.9083,0.9082,90.81,90.83,90.82,6G_Emerging
S047,18,Late_Transition,0.9200,0.9349,0.500,0.818,0.690,0.9275,0.9333,0.9298,92.75,93.33,92.98,6G_Emerging
S048,20,Late_Transition,0.9300,0.9532,0.556,0.908,0.790,0.9429,0.9511,0.9481,94.29,95.11,94.81,6G_Emerging
S049,22,Late_Transition,0.9400,0.9719,0.611,0.957,0.855,0.9605,0.9702,0.9671,96.05,97.02,96.71,6G_Dominant
S050,24,Late_Transition,0.9500,0.9866,0.667,0.982,0.910,0.9744,0.9853,0.9824,97.44,98.53,98.24,6G_Dominant
S051,26,Advanced_6G,0.9575,0.9963,0.722,0.993,0.940,0.9845,0.9956,0.9937,98.45,99.56,99.37,6G_Dominant
S052,28,Advanced_6G,0.9625,1.0035,0.778,0.998,0.965,0.9943,1.0031,1.0017,99.43,100.31,100.17,6G_Dominant
S053,30,Advanced_6G,0.9700,1.0095,0.833,0.999,0.982,1.0014,1.0093,1.0084,100.14,100.93,100.84,6G_Dominant
S054,32,Advanced_6G,0.9725,1.0153,0.889,1.000,0.992,1.0069,1.0153,1.0146,100.69,101.53,101.46,6G_Dominant
S055,33,Advanced_6G,0.9775,1.0211,0.917,1.000,0.996,1.0118,1.0211,1.0205,101.18,102.11,102.05,6G_Dominant
S056,34,Full_6G,0.9775,1.0240,0.944,1.000,0.998,1.0138,1.0240,1.0236,101.38,102.40,102.36,6G_Dominant
S057,35,Full_6G,0.9800,1.0281,0.972,1.000,0.999,1.0198,1.0281,1.0279,101.98,102.81,102.79,6G_Complete
S058,36,Full_6G,0.9800,1.0295,1.000,1.000,1.000,1.0295,1.0295,1.0295,102.95,102.95,102.95,6G_Complete
S059,36,Full_6G,0.9800,1.0277,1.000,1.000,1.000,1.0277,1.0277,1.0277,102.77,102.77,102.77,6G_Complete
S060,36,Full_6G,0.9825,1.0305,1.000,1.000,1.000,1.0305,1.0305,1.0305,103.05,103.05,103.05,6G_Complete
