# QoE Impairment Enhanced Dataset - Video Streaming Only
# 60 Sessions over 36-month transition period (t=0 to t=36)
# Format: Session_ID, Time(months), App_Type, Delay(ms), Packet_Loss, Jitter(ms), I_delay_enhanced, I_codec_loss_6G, I_jitter_sub_ms, I_mobility_3D, I_context_AI, I_6G_specific, A_6G, R_0, R_5G, R_6G_Impairment, η_linear, η_sigmoid, η_adaptive, R_Total_linear, R_Total_sigmoid, R_Total_adaptive

Session_ID,Time,App_Type,Delay,Packet_Loss,Jitter,I_delay_enhanced,I_codec_loss_6G,I_jitter_sub_ms,I_mobility_3D,I_context_AI,I_6G_specific,A_6G,R_0,R_5G,R_6G_Impairment,η_linear,η_sigmoid,η_adaptive,R_Total_linear,R_Total_sigmoid,R_Total_adaptive
S017,15,Video_Streaming,1.9,0.00005,0.3,6.8,3.2,0.6,0.3,0.7,1.1,9.5,100,83.5,85.2,0.417,0.622,0.520,84.2,84.8,84.5
S018,16,Video_Streaming,1.7,0.00004,0.28,6.3,2.9,0.5,0.25,0.6,0.9,10.0,100,84.0,87.0,0.444,0.697,0.585,85.1,86.2,85.8
S019,17,Video_Streaming,1.6,0.00003,0.25,5.9,2.6,0.4,0.2,0.5,0.8,10.5,100,84.5,88.8,0.472,0.761,0.645,86.1,87.8,87.3
S020,18,Video_Streaming,1.4,0.00003,0.2,5.2,2.2,0.3,0.15,0.5,0.7,10.8,100,85.1,90.9,0.500,0.818,0.690,88.0,89.8,89.0
S021,19,Video_Streaming,1.3,0.00002,0.18,4.9,2.0,0.28,0.12,0.4,0.6,11.2,100,85.5,92.5,0.528,0.867,0.740,88.7,91.2,90.3
S022,20,Video_Streaming,1.1,0.00002,0.15,4.5,1.5,0.20,0.08,0.3,0.5,11.7,100,86.0,94.1,0.556,0.908,0.790,89.6,93.2,92.2
S023,21,Video_Streaming,1.0,0.00001,0.13,4.1,1.3,0.17,0.06,0.3,0.4,12.1,100,86.6,95.7,0.583,0.938,0.830,90.5,95.1,94.1
S024,22,Video_Streaming,0.8,0.000008,0.11,3.5,0.9,0.13,0.04,0.2,0.3,12.6,100,87.5,97.1,0.611,0.957,0.855,91.4,96.6,95.9
S025,23,Video_Streaming,0.7,0.000007,0.10,3.2,0.8,0.11,0.03,0.18,0.25,13.0,100,88.0,98.5,0.639,0.973,0.885,92.4,98.1,97.5
S026,24,Video_Streaming,0.65,0.000005,0.09,2.9,0.5,0.09,0.02,0.15,0.2,13.2,100,88.8,99.4,0.667,0.982,0.910,92.9,99.1,98.6
S027,25,Video_Streaming,0.58,0.000004,0.08,2.6,0.4,0.08,0.015,0.12,0.18,13.5,100,89.3,100.5,0.694,0.990,0.930,94.0,100.3,99.8
S028,26,Video_Streaming,0.5,0.000003,0.07,2.3,0.3,0.06,0.01,0.1,0.15,13.8,100,89.7,101.2,0.722,0.993,0.940,93.8,101.0,100.5
S029,27,Video_Streaming,0.46,0.000002,0.06,2.1,0.25,0.05,0.008,0.09,0.13,14.1,100,90.1,102.2,0.750,0.996,0.955,94.8,102.1,101.6
S030,28,Video_Streaming,0.42,0.000002,0.05,2.0,0.2,0.04,0.006,0.08,0.12,14.3,100,90.5,103.2,0.778,0.998,0.965,95.0,103.1,102.7
S031,29,Video_Streaming,0.38,0.000001,0.045,1.8,0.18,0.035,0.005,0.07,0.10,14.5,100,90.8,104.2,0.806,0.999,0.975,95.9,104.2,103.8
S032,30,Video_Streaming,0.35,0.000001,0.04,1.7,0.15,0.03,0.004,0.06,0.10,14.8,100,91.2,105.2,0.833,0.999,0.982,96.8,105.1,104.8
S033,31,Video_Streaming,0.32,0.0000008,0.035,1.5,0.13,0.025,0.003,0.05,0.08,15.0,100,91.5,106.2,0.861,1.000,0.988,97.6,106.2,105.9
S034,32,Video_Streaming,0.30,0.0000007,0.03,1.4,0.12,0.020,0.002,0.05,0.08,15.3,100,91.8,107.4,0.889,1.000,0.992,98.0,107.4,107.2
S035,33,Video_Streaming,0.27,0.0000005,0.025,1.25,0.10,0.018,0.002,0.04,0.07,15.8,100,92.3,109.6,0.917,1.000,0.996,99.5,109.6,109.5
S036,34,Video_Streaming,0.24,0.0000004,0.022,1.12,0.08,0.015,0.0015,0.035,0.06,16.0,100,92.7,111.6,0.944,1.000,0.998,99.8,111.6,111.5
S037,35,Video_Streaming,0.21,0.0000003,0.018,1.02,0.07,0.012,0.0010,0.03,0.05,16.2,100,93.1,113.6,0.972,1.000,0.999,102.9,113.6,113.6
S038,36,Video_Streaming,0.19,0.0000002,0.015,0.95,0.06,0.010,0.0008,0.025,0.04,16.4,100,93.5,115.7,1.000,1.000,1.000,115.7,115.7,115.7
S039,1,Video_Streaming,5.1,0.0009,1.2,12.8,8.1,3.0,2.7,2.3,3.7,2.7,100,77.0,64.2,0.028,0.001,0.005,76.5,77.0,76.8
S040,2,Video_Streaming,4.9,0.0007,1.1,12.4,7.8,2.8,2.5,2.1,3.5,3.3,100,78.3,66.2,0.056,0.002,0.012,77.6,78.3,78.1
S041,3,Video_Streaming,4.6,0.0006,1.0,11.9,7.3,2.6,2.2,1.9,3.1,4.0,100,78.9,68.2,0.083,0.007,0.025,78.2,78.9,78.7
S042,5,Video_Streaming,4.2,0.0005,0.85,11.1,6.6,2.2,1.8,1.6,2.6,5.1,100,79.6,70.2,0.139,0.034,0.072,78.7,79.4,79.1
S043,7,Video_Streaming,3.7,0.0003,0.7,10.3,5.9,1.9,1.5,1.4,2.3,5.9,100,80.0,72.8,0.194,0.091,0.138,78.9,79.7,79.5
S044,10,Video_Streaming,2.9,0.0002,0.5,8.8,4.9,1.4,1.0,1.1,1.9,7.2,100,81.3,77.0,0.278,0.226,0.258,80.2,80.8,80.6
S045,12,Video_Streaming,2.6,0.00008,0.42,8.3,4.3,1.1,0.7,0.9,1.6,8.1,100,81.8,80.2,0.333,0.354,0.370,81.4,81.5,81.5
S046,15,Video_Streaming,2.0,0.00005,0.32,7.0,3.3,0.7,0.35,0.7,1.2,9.4,100,83.3,84.8,0.417,0.622,0.520,83.9,84.5,84.2
S047,18,Video_Streaming,1.5,0.00003,0.22,5.5,2.3,0.35,0.18,0.5,0.8,10.7,100,84.8,90.3,0.500,0.818,0.690,87.6,89.3,88.5
S048,20,Video_Streaming,1.2,0.00002,0.16,4.7,1.7,0.22,0.10,0.35,0.55,11.5,100,85.8,93.4,0.556,0.908,0.790,89.1,92.7,91.8
S049,22,Video_Streaming,0.9,0.000009,0.12,3.8,1.0,0.14,0.05,0.25,0.35,12.4,100,87.0,96.5,0.611,0.957,0.855,90.8,96.1,95.3
S050,24,Video_Streaming,0.68,0.000006,0.09,3.0,0.6,0.09,0.025,0.17,0.22,13.1,100,88.5,98.9,0.667,0.982,0.910,92.4,98.7,98.1
S051,26,Video_Streaming,0.52,0.000003,0.07,2.4,0.35,0.065,0.012,0.11,0.16,13.7,100,89.5,100.9,0.722,0.993,0.940,93.5,100.7,100.2
S052,28,Video_Streaming,0.44,0.000002,0.055,2.1,0.22,0.045,0.007,0.085,0.13,14.2,100,90.3,102.8,0.778,0.998,0.965,94.7,102.7,102.3
S053,30,Video_Streaming,0.36,0.000001,0.042,1.75,0.16,0.032,0.004,0.065,0.10,14.7,100,91.0,104.9,0.833,0.999,0.982,96.5,104.8,104.5
S054,32,Video_Streaming,0.31,0.0000007,0.032,1.45,0.125,0.022,0.0025,0.052,0.082,15.2,100,91.6,107.0,0.889,1.000,0.992,97.7,107.0,106.8
S055,34,Video_Streaming,0.25,0.0000004,0.023,1.15,0.085,0.016,0.0016,0.037,0.062,15.9,100,92.5,111.2,0.944,1.000,0.998,100.4,111.2,111.1
S056,35,Video_Streaming,0.22,0.0000003,0.019,1.05,0.072,0.013,0.0011,0.032,0.052,16.1,100,92.9,113.2,0.972,1.000,0.999,102.7,113.2,113.2
S057,36,Video_Streaming,0.17,0.0000001,0.012,0.88,0.05,0.008,0.0005,0.02,0.035,16.6,100,93.8,117.8,1.000,1.000,1.000,117.8,117.8,117.8
S058,36,Video_Streaming,0.16,0.00000007,0.010,0.84,0.04,0.006,0.0003,0.018,0.03,16.8,100,94.0,119.9,1.000,1.000,1.000,119.9,119.9,119.9
S059,36,Video_Streaming,0.18,0.00000008,0.013,0.91,0.055,0.009,0.0006,0.023,0.038,16.5,100,93.6,117.3,1.000,1.000,1.000,117.3,117.3,117.3
S060,36,Video_Streaming,0.15,0.00000005,0.008,0.80,0.035,0.005,0.0002,0.015,0.025,17.0,100,94.2,121.4,1.000,1.000,1.000,121.4,121.4,121.4
