Session_ID,Time,Network_Condition,Service_Type,QoE_Impairment_Enhanced,QoE_AHP_AI,QoE_Application_Specific,QoE_Context_Aware,Weight_Alpha,Weight_Beta,Weight_Gamma,Weight_Delta,QoE_6G_Total,QoE_6G_Total_Percent
S028,26,Excellent,Video_Streaming,1.0050,0.9890,0.9942,0.9928,0.094,0.322,0.433,0.150,0.9966,99.66
S029,27,Excellent,Video_Streaming,1.0160,0.9900,0.9950,0.9928,0.092,0.325,0.436,0.147,1.0002,100.02
S030,28,Excellent,Video_Streaming,1.0270,0.9910,0.9959,0.9955,0.089,0.328,0.439,0.144,1.0037,100.37
S031,29,Excellent,Video_Streaming,1.0380,0.9920,0.9967,0.9964,0.086,0.331,0.442,0.142,1.0068,100.68
S032,30,Excellent,Video_Streaming,1.0480,0.9930,0.9974,0.9972,0.083,0.333,0.444,0.139,1.0097,100.97
S033,31,Excellent,Video_Streaming,1.0590,0.9940,0.9978,0.9977,0.081,0.336,0.447,0.136,1.0126,101.26
S034,32,Excellent,Video_Streaming,1.0720,0.9950,0.9982,0.9981,0.078,0.339,0.450,0.133,1.0155,101.55
S035,33,Excellent,Video_Streaming,1.0950,0.9960,0.9985,0.9983,0.075,0.342,0.453,0.131,1.0185,101.85
S036,34,Excellent,Video_Streaming,1.1150,0.9970,0.9987,0.9986,0.072,0.344,0.456,0.128,1.0213,102.13
S037,35,Excellent,Video_Streaming,1.1360,0.9980,0.9989,0.9989,0.069,0.347,0.458,0.125,1.0241,102.41
S038,36,Excellent,Video_Streaming,1.1570,0.9990,0.9990,0.9990,0.067,0.350,0.461,0.122,1.0270,102.70
S039,1,Fair,Video_Streaming,0.7680,0.5260,0.6052,0.6248,0.350,0.200,0.250,0.200,0.6548,65.48
S040,2,Fair,Video_Streaming,0.7810,0.5630,0.6489,0.5890,0.350,0.200,0.250,0.200,0.6679,66.79
S041,3,Good,Video_Streaming,0.7870,0.7120,0.7419,0.7452,0.250,0.250,0.300,0.200,0.7506,75.06
S042,5,Good,Video_Streaming,0.7910,0.7600,0.7447,0.7432,0.250,0.250,0.300,0.200,0.7590,75.90
S043,7,Good,Video_Streaming,0.7950,0.7920,0.8126,0.8152,0.250,0.250,0.300,0.200,0.8039,80.39
S044,10,Excellent,Video_Streaming,0.8060,0.8980,0.8737,0.8730,0.139,0.278,0.389,0.194,0.8604,86.04
S045,12,Excellent,Video_Streaming,0.8150,0.9200,0.9289,0.9123,0.133,0.283,0.394,0.189,0.8871,88.71
S046,15,Excellent,Video_Streaming,0.8420,0.9500,0.9438,0.9324,0.125,0.292,0.403,0.181,0.9089,90.89
S047,18,Excellent,Video_Streaming,0.8850,0.9730,0.9608,0.9552,0.117,0.300,0.411,0.172,0.9349,93.49
S048,20,Excellent,Video_Streaming,0.9180,0.9800,0.9693,0.9687,0.111,0.306,0.417,0.167,0.9532,95.32
S049,22,Excellent,Video_Streaming,0.9530,0.9830,0.9835,0.9812,0.106,0.311,0.422,0.161,0.9719,97.19
S050,24,Excellent,Video_Streaming,0.9810,0.9860,0.9893,0.9889,0.100,0.317,0.428,0.156,0.9866,98.66
S051,26,Excellent,Video_Streaming,1.0020,0.9880,0.9938,0.9930,0.094,0.322,0.433,0.150,0.9963,99.63
S052,28,Excellent,Video_Streaming,1.0230,0.9910,0.9955,0.9959,0.089,0.328,0.439,0.144,1.0035,100.35
S053,30,Excellent,Video_Streaming,1.0450,0.9930,0.9973,0.9973,0.083,0.333,0.444,0.139,1.0095,100.95
S054,32,Excellent,Video_Streaming,1.0680,0.9950,0.9981,0.9981,0.078,0.339,0.450,0.133,1.0153,101.53
S055,34,Excellent,Video_Streaming,1.1110,0.9960,0.9987,0.9987,0.072,0.344,0.456,0.128,1.0211,102.11
S056,35,Excellent,Video_Streaming,1.1320,0.9970,0.9989,0.9989,0.069,0.347,0.458,0.125,1.0240,102.40
S057,36,Excellent,Video_Streaming,1.1780,0.9980,0.9990,0.9990,0.067,0.350,0.461,0.122,1.0281,102.81
S058,36,Excellent,Video_Streaming,1.1990,0.9980,0.9990,0.9990,0.067,0.350,0.461,0.122,1.0295,102.95
S059,36,Excellent,Video_Streaming,1.1730,0.9990,0.9990,0.9990,0.067,0.350,0.461,0.122,1.0277,102.77
S060,36,Excellent,Video_Streaming,1.2140,1.0000,0.9990,0.9990,0.067,0.350,0.461,0.122,1.0305,103.05
