# QoE_AHP_AI Video Streaming Dataset
# 60 Sessions over 36-month transition period (t=0 to t=36)
# Criteria: C1=Video Quality, C2=Buffering, C3=Startup Delay, C4=Bitrate Adaptation, C5=Frame Rate Stability
# Format: Session_ID, Time(months), Network_State, C1, C2, C3, C4, C5, w1(t), w2(t), w3(t), w4(t), w5(t), Q_reward, Fed_Update, α, β, w1(t+1), w2(t+1), w3(t+1), w4(t+1), w5(t+1), QoE_AHP_AI

Session_ID,Time,Network_State,C1,C2,C3,C4,C5,w1(t),w2(t),w3(t),w4(t),w5(t),Q_reward,Fed_Update,α,β,w1(t+1),w2(t+1),w3(t+1),w4(t+1),w5(t+1),QoE_AHP_AI
S037,35,Excellent,1.00,0.99,1.00,1.00,0.99,0.992,0.000,0.000,0.000,0.008,0.97,0.20,0.070,0.190,0.999,0.000,0.000,0.000,0.001,99.8
S038,36,Excellent,1.00,0.99,1.00,1.00,1.00,0.999,0.000,0.000,0.000,0.001,0.98,0.20,0.068,0.193,1.000,0.000,0.000,0.000,0.000,99.9
S039,1,Fair,0.53,0.49,0.56,0.51,0.54,0.200,0.200,0.200,0.200,0.200,0.18,0.03,0.012,0.052,0.203,0.202,0.199,0.198,0.198,52.6
S040,2,Fair,0.57,0.53,0.59,0.55,0.58,0.203,0.202,0.199,0.198,0.198,0.30,0.05,0.022,0.062,0.210,0.205,0.197,0.195,0.193,56.3
S041,3,Good,0.72,0.69,0.73,0.71,0.70,0.210,0.205,0.197,0.195,0.193,0.38,0.06,0.028,0.068,0.219,0.208,0.194,0.191,0.188,71.2
S042,5,Good,0.76,0.73,0.77,0.75,0.74,0.219,0.208,0.194,0.191,0.188,0.50,0.08,0.038,0.078,0.232,0.211,0.190,0.186,0.181,76.0
S043,7,Good,0.79,0.76,0.80,0.78,0.77,0.232,0.211,0.190,0.186,0.181,0.56,0.10,0.048,0.088,0.248,0.213,0.185,0.180,0.174,79.2
S044,10,Excellent,0.90,0.87,0.91,0.89,0.88,0.248,0.213,0.185,0.180,0.174,0.70,0.13,0.063,0.103,0.267,0.214,0.178,0.172,0.169,89.8
S045,12,Excellent,0.92,0.89,0.93,0.91,0.90,0.267,0.214,0.178,0.172,0.169,0.75,0.15,0.073,0.113,0.289,0.214,0.170,0.163,0.164,92.0
S046,15,Excellent,0.95,0.92,0.96,0.94,0.93,0.289,0.214,0.170,0.163,0.164,0.81,0.18,0.088,0.128,0.314,0.213,0.160,0.152,0.161,95.0
S047,18,Excellent,0.97,0.94,0.98,0.96,0.95,0.314,0.213,0.160,0.152,0.161,0.84,0.19,0.095,0.138,0.342,0.211,0.149,0.140,0.158,97.3
S048,20,Excellent,0.98,0.95,0.99,0.97,0.96,0.342,0.211,0.149,0.140,0.158,0.86,0.20,0.099,0.144,0.372,0.208,0.137,0.127,0.156,98.0
S049,22,Excellent,0.98,0.95,0.99,0.97,0.96,0.372,0.208,0.137,0.127,0.156,0.88,0.20,0.096,0.150,0.403,0.204,0.124,0.113,0.156,98.3
S050,24,Excellent,0.99,0.96,0.99,0.98,0.97,0.403,0.204,0.124,0.113,0.156,0.90,0.20,0.093,0.156,0.434,0.199,0.110,0.098,0.159,98.6
S051,26,Excellent,0.99,0.97,1.00,0.98,0.97,0.434,0.199,0.110,0.098,0.159,0.92,0.20,0.089,0.162,0.465,0.193,0.095,0.082,0.165,98.8
S052,28,Excellent,1.00,0.97,1.00,0.99,0.98,0.465,0.193,0.095,0.082,0.165,0.93,0.20,0.085,0.168,0.495,0.186,0.079,0.065,0.175,99.1
S053,30,Excellent,1.00,0.98,1.00,0.99,0.98,0.495,0.186,0.079,0.065,0.175,0.94,0.20,0.081,0.174,0.525,0.178,0.062,0.047,0.188,99.3
S054,32,Excellent,1.00,0.98,1.00,0.99,0.99,0.525,0.178,0.062,0.047,0.188,0.95,0.20,0.077,0.180,0.554,0.169,0.044,0.028,0.205,99.5
S055,33,Excellent,1.00,0.99,1.00,0.99,0.99,0.554,0.169,0.044,0.028,0.205,0.96,0.20,0.075,0.183,0.582,0.159,0.026,0.009,0.224,99.6
S056,34,Excellent,1.00,0.99,1.00,1.00,0.99,0.582,0.159,0.026,0.009,0.224,0.96,0.20,0.073,0.186,0.609,0.148,0.007,0.000,0.236,99.7
S057,35,Excellent,1.00,0.99,1.00,1.00,0.99,0.609,0.148,0.007,0.000,0.236,0.97,0.20,0.071,0.189,0.635,0.136,0.000,0.000,0.229,99.8
S058,36,Excellent,1.00,0.99,1.00,1.00,1.00,0.635,0.136,0.000,0.000,0.229,0.97,0.20,0.069,0.192,0.660,0.123,0.000,0.000,0.217,99.8
S059,36,Excellent,1.00,0.99,1.00,1.00,0.99,0.660,0.123,0.000,0.000,0.217,0.98,0.20,0.067,0.195,0.684,0.109,0.000,0.000,0.207,99.9
S060,36,Excellent,1.00,1.00,1.00,1.00,1.00,0.684,0.109,0.000,0.000,0.207,0.98,0.20,0.065,0.198,0.707,0.094,0.000,0.000,0.199,100.0
